date,suffer,treatdiff,country,auth,pure,math,cared,unfair,betray,trad,disgust,cruel,rights,loyal,chaos,god,free,restrict,decide,account,merits,punish,reward,viol,killed,harmed,age,gender,edu,polviews,polviews_full,not_loyal,respect_authority,indecent,compassio,gov_fair,proud_country,authority_children,disgust_noharm,good_bad,hurt_animal,justice,loyal_family,men_women,unnatural,kill_human,inherit,team_player,soldier_disobey,chastity,wave,cov_affect,cov_others_worry,cov_worry,cov_quarantine,cov_contag,version,id
2019-09-18,2,2,2,3,4,0,3,2,1,3,2,4,3,2,3,5,3,3,0,0,0,0,2,3,3,4,40,Male,high,conservative,Extremely conservative,3,3,4,4,5,7,7,4,7,5,5,5,4,4,1,1,2,5,7,t1,3,4,2,1,1,1,210
2019-09-18,3,1,1,2,2,0,1,2,1,2,2,5,3,1,1,0,1,0,1,3,1,1,2,2,5,2,24,Female,mid,conservative,Conservative,2,2,2,4,3,5,5,2,5,5,2,3,4,3,4,3,4,5,5,t1,NA,NA,NA,NA,NA,1,167
2019-09-18,5,5,0,0,0,0,5,5,2,0,0,5,5,2,2,0,5,5,5,4,2,5,4,5,5,5,29,Male,high,conservative,Conservative,4,1,1,7,7,1,4,1,7,7,4,7,1,1,1,1,3,5,1,t1,NA,NA,NA,NA,NA,1,213
2019-09-18,5,5,1,3,0,0,5,5,2,2,0,5,5,2,4,0,4,5,1,5,2,5,5,5,5,5,41,Male,mid,conservative,Conservative,2,4,5,7,7,1,7,2,7,7,7,3,7,2,1,4,7,7,1,t1,2,3,1,1,1,1,185
2019-09-18,4,3,3,4,4,0,4,4,4,2,4,5,5,1,5,2,1,2,1,3,2,3,3,4,5,4,45,Male,high,conservative,Conservative,3,3,4,7,5,4,7,7,7,7,5,3,7,7,1,2,4,7,1,t1,4,1,4,1,1,1,225
2019-09-18,0,0,5,5,5,0,0,0,5,5,5,0,5,5,5,5,0,5,0,0,0,0,0,0,0,5,24,Male,high,conservative,Extremely conservative,5,5,5,1,1,7,7,7,7,1,7,7,7,7,1,1,7,7,7,t1,NA,NA,NA,NA,NA,1,260
2019-09-18,3,2,0,2,3,0,4,1,0,1,2,4,1,0,4,0,1,1,0,0,2,0,0,5,5,5,31,Female,high,conservative,Slightly conservative,1,2,4,7,7,4,7,7,7,7,7,5,1,3,7,1,3,2,7,t1,5,2,5,1,1,1,263
2019-09-18,5,3,4,5,4,4,5,4,5,5,5,5,5,5,4,5,4,4,5,4,5,4,4,5,5,5,39,Male,high,conservative,Extremely conservative,4,4,5,5,7,7,7,7,7,4,3,7,7,7,2,2,7,7,7,t1,NA,NA,NA,NA,NA,1,93
2019-09-18,4,3,3,4,5,0,5,4,3,5,5,3,5,3,4,5,0,5,5,5,3,4,5,5,5,5,44,Female,mid,conservative,Conservative,4,5,5,7,5,5,5,1,7,5,5,1,5,7,4,1,4,3,7,t1,2,3,2,1,1,1,277
2019-09-18,5,5,5,5,4,1,4,3,5,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,70,Female,mid,liberal,Extremely liberal,4,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,t1,3,4,2,1,1,1,220
2019-09-18,5,4,2,2,2,0,5,5,2,0,1,5,5,1,4,5,4,4,2,4,3,3,4,5,5,5,43,Male,high,conservative,Slightly conservative,4,4,2,5,7,4,5,2,7,7,7,2,7,2,7,1,4,5,5,t1,4,4,3,1,1,1,322
2019-09-18,5,5,5,4,5,0,4,5,5,4,3,5,5,5,5,5,5,5,3,4,4,5,5,5,1,5,32,Male,high,conservative,Conservative,5,4,5,5,5,7,7,5,7,7,5,5,7,7,5,1,2,5,7,t1,NA,NA,NA,NA,NA,1,17
2019-09-18,2,4,1,1,3,0,1,5,2,0,0,3,4,1,4,0,0,1,1,3,0,2,5,3,5,4,45,Female,high,conservative,Conservative,2,2,4,3,3,5,5,4,5,7,5,1,3,5,3,1,2,5,3,t1,2,4,2,1,1,1,280
2019-09-19,1,0,1,5,5,1,0,0,3,5,2,3,4,3,0,1,3,5,1,1,1,0,4,3,5,1,33,Male,high,conservative,Slightly conservative,1,3,2,4,3,7,5,1,3,4,4,3,5,5,3,1,7,4,4,t1,NA,NA,NA,NA,NA,1,154
2019-09-19,4,3,2,3,1,0,4,4,2,1,2,4,4,3,4,0,3,3,3,4,3,4,4,5,5,5,35,Female,mid,conservative,Slightly conservative,2,3,2,7,7,4,7,2,7,7,5,4,3,2,7,4,2,5,1,t1,2,3,2,1,1,1,202
2019-09-19,3,2,0,1,3,0,2,2,1,2,2,4,2,1,4,0,2,2,3,2,2,3,4,3,4,3,45,Male,high,liberal,Liberal,2,2,4,3,4,5,2,4,5,3,2,1,4,3,1,1,3,3,1,t1,4,1,4,1,1,1,264
2019-09-19,4,5,0,0,4,0,5,4,4,0,0,5,3,4,5,0,5,5,5,5,1,4,4,5,5,5,32,Male,mid,moderate,Moderate,4,3,5,7,7,1,1,1,7,7,2,1,4,2,7,7,1,1,4,t1,1,5,1,1,1,1,116
2019-09-19,3,3,3,2,2,1,4,4,4,1,2,5,4,4,4,5,3,3,3,4,3,4,3,4,5,5,27,Male,mid,moderate,Moderate,4,3,3,5,4,5,4,4,7,7,4,5,3,4,4,3,4,3,4,t1,3,2,3,1,1,1,238
2019-09-19,3,5,1,2,2,0,4,5,2,2,2,3,5,3,1,0,3,3,3,4,4,4,4,4,4,4,49,Male,high,conservative,Extremely conservative,3,2,3,5,7,3,4,4,7,3,7,3,5,4,1,2,2,4,5,t1,2,5,2,1,1,1,175
2019-09-19,3,4,1,3,3,0,4,4,2,2,4,5,4,1,5,1,3,4,4,4,1,4,3,5,5,5,31,Female,high,liberal,Slightly liberal,3,3,4,5,7,1,3,4,5,5,5,3,4,4,4,2,2,2,3,t1,2,4,2,1,1,1,245
2019-09-19,4,2,1,3,2,0,1,4,2,2,2,4,4,2,4,0,2,3,2,2,1,3,2,5,5,4,37,Female,high,liberal,Slightly liberal,2,4,4,4,7,3,4,3,7,7,5,3,2,3,5,2,3,3,3,t1,2,5,1,1,1,1,321
2019-09-19,5,4,1,1,3,0,3,4,2,1,3,4,3,2,4,4,3,4,3,4,2,2,3,4,5,5,55,Male,mid,moderate,Moderate,2,2,3,7,7,4,3,4,7,7,4,2,5,5,4,4,2,2,5,t1,4,2,3,1,1,1,177
2019-09-19,4,4,2,2,3,0,4,4,1,2,5,5,4,1,4,4,1,4,1,4,0,2,1,5,5,5,59,Female,mid,conservative,Conservative,3,4,4,5,5,3,5,7,7,5,5,2,5,5,5,2,4,4,5,t1,NA,NA,NA,NA,NA,1,178
2019-09-19,5,5,3,4,4,0,5,5,3,4,2,5,4,1,2,1,4,4,5,4,5,4,4,4,3,5,32,Male,high,conservative,Slightly conservative,2,1,2,5,7,5,7,5,7,7,7,7,5,4,5,5,3,5,3,t1,4,5,4,1,1,1,147
2019-09-19,5,4,1,0,1,0,4,4,3,1,2,4,5,1,3,0,3,3,3,4,2,4,2,3,4,5,41,Male,high,liberal,Extremely liberal,2,1,2,7,7,2,2,2,7,5,7,3,1,2,7,7,4,1,1,t1,2,2,3,1,1,1,262
2019-09-19,2,3,1,1,2,0,2,2,2,1,3,4,4,2,1,2,2,4,4,2,3,2,2,4,3,3,39,Female,mid,liberal,Extremely liberal,3,1,4,4,7,3,3,5,7,3,5,3,3,4,4,4,3,5,4,t1,5,1,5,1,1,1,1
2019-09-19,5,4,1,2,2,0,5,4,5,1,2,5,5,4,4,0,3,4,3,4,2,4,3,5,4,5,32,Male,mid,liberal,Slightly liberal,4,2,4,7,5,5,4,3,7,7,5,2,2,4,2,2,2,3,2,t1,2,4,1,1,1,1,112
2019-09-19,3,3,2,3,4,0,3,4,3,3,4,4,5,4,4,3,3,5,2,5,4,5,5,4,5,4,28,Male,mid,conservative,Conservative,5,4,4,5,7,4,5,7,7,7,7,5,7,5,2,3,3,5,4,t1,2,3,2,1,1,1,248
2019-09-19,2,5,2,0,0,0,4,5,2,0,0,4,4,1,2,0,1,1,1,4,3,4,4,4,5,4,35,Male,high,conservative,Slightly conservative,3,1,1,2,7,4,4,1,7,7,7,2,4,1,1,2,4,3,2,t1,2,5,2,1,1,1,196
2019-09-19,5,5,1,1,0,0,5,5,1,1,0,5,5,1,1,0,5,5,5,3,4,3,4,4,5,5,42,Male,high,liberal,Slightly liberal,2,1,1,7,7,3,4,1,7,5,4,3,2,1,5,7,2,2,3,t1,3,2,3,1,1,1,88
2019-09-19,5,5,1,2,1,0,5,5,2,2,2,5,5,2,3,0,2,3,2,5,3,5,5,5,5,5,37,Male,high,liberal,Extremely liberal,2,3,4,7,7,4,4,4,7,7,7,5,1,4,3,7,2,4,1,t1,2,3,4,1,1,1,212
2019-09-19,1,1,0,0,2,0,3,1,0,1,1,2,1,3,0,0,0,1,1,1,0,1,0,5,5,5,30,Female,high,liberal,Liberal,2,2,4,2,4,1,2,1,7,4,2,1,2,1,1,5,1,1,1,t1,NA,NA,NA,NA,NA,1,142
2019-09-19,3,4,1,3,3,0,5,5,1,2,2,4,4,3,3,1,3,3,3,4,2,4,4,4,5,5,45,Male,high,moderate,Moderate,5,4,4,7,7,1,4,4,7,5,4,4,5,4,7,7,4,3,4,t1,NA,NA,NA,NA,NA,1,281
2019-09-19,3,3,1,3,1,0,3,3,1,1,1,3,4,1,2,3,1,3,2,0,3,4,3,5,4,4,32,Male,mid,liberal,Slightly liberal,1,2,2,4,7,4,4,2,4,5,5,3,3,2,5,2,3,2,1,t1,3,3,3,1,1,1,23
2019-09-19,5,3,1,2,3,0,0,4,2,1,3,4,2,2,3,0,2,2,3,2,1,1,2,5,5,5,33,Female,mid,liberal,Extremely liberal,4,4,4,5,7,1,4,5,7,4,3,2,3,4,5,1,2,4,2,t1,2,5,2,1,1,1,62
2019-09-19,4,5,0,2,0,0,3,5,0,0,0,4,5,0,3,0,0,1,1,2,1,2,3,5,5,5,61,Male,high,liberal,Liberal,1,3,1,3,7,1,4,1,7,5,7,1,1,1,1,7,1,4,1,t1,NA,NA,NA,NA,NA,1,52
2019-09-19,4,4,1,2,5,0,3,4,3,3,4,3,4,1,3,4,3,3,3,3,3,3,2,4,5,4,39,Male,high,conservative,Conservative,2,3,4,5,5,5,4,5,5,5,5,4,5,5,4,5,4,4,4,t1,2,3,2,1,1,1,309
2019-09-19,4,4,3,4,4,0,5,3,3,4,5,4,3,3,3,5,5,4,4,4,4,4,5,4,5,5,54,Female,high,liberal,Slightly liberal,4,4,4,7,5,7,5,5,5,5,5,7,5,7,1,7,7,7,7,t1,5,5,5,3,3,1,300
2019-09-19,5,5,1,1,2,0,5,5,3,1,2,5,5,3,5,0,2,2,3,5,4,3,4,4,5,5,54,Female,high,liberal,Liberal,5,2,4,7,7,4,5,4,7,7,5,3,1,4,5,5,5,4,1,t1,NA,NA,NA,NA,NA,1,244
2019-09-19,3,4,1,0,0,0,3,4,1,0,0,4,4,0,2,2,4,4,4,4,3,4,5,4,4,5,55,Male,high,moderate,Moderate,1,1,1,5,7,5,3,2,5,7,5,3,4,1,1,2,3,3,1,t1,NA,NA,NA,NA,NA,1,326
2019-09-19,4,4,1,3,1,0,3,3,2,2,1,3,4,4,3,0,3,4,3,3,3,4,3,4,4,4,28,Male,high,liberal,Slightly liberal,4,3,4,7,5,2,4,2,7,7,4,5,2,2,5,5,3,4,3,t1,2,3,2,1,1,1,122
2019-09-19,4,5,4,4,2,0,5,4,4,2,2,5,5,4,5,4,4,4,4,4,4,4,3,4,5,4,54,Female,high,conservative,Slightly conservative,4,4,4,5,7,5,5,4,7,5,7,7,4,4,3,2,4,7,3,t1,2,4,2,1,1,1,237
2019-09-19,4,5,1,1,3,0,4,4,4,3,2,4,5,1,3,0,5,5,4,3,3,3,3,3,3,3,36,Male,high,liberal,Slightly liberal,2,2,4,5,7,3,4,5,5,7,4,4,5,5,2,3,5,5,4,t1,4,2,3,1,1,1,24
2019-09-19,5,5,0,0,0,0,5,5,2,0,0,5,5,2,0,0,5,5,5,4,0,2,5,5,5,5,32,Female,high,liberal,Extremely liberal,3,1,1,7,7,2,4,1,7,7,5,1,1,1,7,5,1,1,1,t1,NA,NA,NA,NA,NA,1,199
2019-09-19,3,4,0,1,0,0,3,4,0,1,0,3,4,0,2,0,1,3,0,1,3,1,2,4,4,4,56,Female,high,liberal,Liberal,1,2,2,5,7,1,5,1,7,5,5,1,2,1,3,4,2,3,1,t1,4,2,2,1,1,1,265
2019-09-19,5,5,2,4,2,1,5,5,5,2,4,5,5,3,5,1,4,5,4,5,5,5,5,5,3,5,46,Male,high,moderate,Moderate,4,5,5,7,7,2,5,5,7,7,5,2,7,4,5,7,3,4,4,t1,4,2,4,1,1,1,140
2019-09-19,5,5,0,1,0,0,5,5,1,0,0,5,5,1,1,0,5,5,5,4,2,1,5,5,5,5,36,Female,mid,liberal,Extremely liberal,2,1,1,7,7,2,4,1,7,7,7,4,1,1,7,4,1,1,1,t1,4,1,5,1,1,1,250
2019-09-19,3,3,1,2,3,0,4,4,3,1,4,4,4,4,3,2,3,4,3,4,2,4,3,4,5,4,53,Male,mid,moderate,Moderate,4,3,3,5,7,2,3,5,5,4,4,3,4,5,5,5,4,3,4,t1,NA,NA,NA,NA,NA,1,184
2019-09-19,5,4,2,4,4,0,5,5,5,3,4,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,63,Male,high,moderate,Moderate,5,4,5,7,7,1,7,5,7,7,7,5,4,5,2,1,5,7,5,t1,2,3,2,1,1,1,72
2019-09-19,2,2,1,2,1,0,3,4,3,1,1,5,5,2,4,1,2,2,1,3,3,2,3,5,5,5,36,Male,high,liberal,Slightly liberal,3,3,2,5,5,4,4,2,7,7,4,4,1,3,3,3,4,4,3,t1,2,3,3,1,1,1,139
2019-09-19,4,3,1,3,1,0,2,3,2,1,1,4,3,2,3,2,3,2,1,4,2,3,5,3,5,5,59,Female,mid,moderate,Moderate,3,4,4,5,5,5,5,3,7,7,5,4,1,2,3,2,2,5,4,t1,5,2,4,1,1,1,229
2019-09-19,5,5,0,0,0,0,5,5,0,0,0,5,5,0,5,0,5,5,5,5,0,5,5,5,5,5,32,Female,mid,liberal,Liberal,1,1,3,1,7,1,1,1,7,1,7,1,1,1,1,1,1,1,1,t1,2,5,2,1,1,1,151
2019-09-19,2,2,4,3,5,0,3,3,2,4,4,4,2,2,2,5,2,3,5,3,2,3,2,3,5,4,57,Female,mid,conservative,Slightly conservative,3,4,4,5,3,7,7,7,7,7,5,4,5,5,5,4,3,4,5,t1,3,2,3,1,1,1,35
2019-09-19,1,5,0,0,2,0,2,5,1,1,0,4,5,1,2,0,4,4,1,4,0,3,4,3,5,5,52,Male,high,liberal,Liberal,1,1,2,4,7,3,5,2,7,4,7,2,2,2,3,3,3,5,1,t1,2,4,2,1,1,1,331
2019-09-19,4,3,1,4,3,0,3,3,1,1,3,5,5,1,4,0,3,4,0,4,2,4,4,5,5,5,56,Female,mid,liberal,Slightly liberal,3,3,4,7,7,2,5,4,7,7,7,1,2,4,4,4,3,4,3,t1,3,4,2,1,1,1,306
2019-09-19,4,4,4,5,3,0,4,4,3,2,3,4,4,2,3,5,3,4,4,4,4,5,1,5,5,5,54,Female,high,moderate,Moderate,4,5,4,7,7,5,7,4,7,5,7,5,5,4,7,1,5,7,5,t1,NA,NA,NA,NA,NA,1,302
2019-09-19,5,5,5,5,3,0,5,2,2,5,3,5,5,3,3,4,5,5,5,5,1,4,3,3,5,4,37,Female,mid,liberal,Slightly liberal,5,5,2,7,7,7,7,1,4,7,7,4,5,3,2,5,1,7,4,t1,2,4,1,1,1,1,272
2019-09-19,5,5,0,0,0,0,5,5,3,0,3,5,5,2,2,0,4,3,3,3,0,3,4,3,5,0,29,Female,high,liberal,Liberal,2,1,1,7,7,4,1,1,7,7,4,1,1,1,5,4,1,1,1,t1,NA,NA,NA,NA,NA,1,217
2019-09-19,5,4,0,5,2,0,5,4,3,2,0,5,5,5,2,5,4,5,5,5,4,4,1,5,5,3,40,Male,mid,liberal,Liberal,4,5,4,7,7,7,7,4,7,7,7,4,5,2,2,5,1,7,5,t1,2,4,1,1,1,1,31
2019-09-19,4,4,1,3,3,0,4,4,2,2,2,5,4,2,4,0,4,3,2,4,2,4,2,3,4,4,47,Male,mid,liberal,Liberal,3,3,4,7,7,3,4,7,7,7,7,3,5,5,3,7,2,4,5,t1,3,1,3,1,1,1,6
2019-09-19,4,4,2,0,2,0,4,3,2,0,1,4,4,2,3,0,2,3,3,3,1,2,4,4,4,4,65,Male,mid,liberal,Liberal,2,1,2,7,7,4,3,4,5,7,7,4,1,3,4,1,1,2,7,t1,2,2,3,1,1,1,27
2019-09-19,5,4,2,3,3,0,5,4,3,2,2,4,4,3,4,4,3,3,3,5,3,3,4,5,5,5,66,Female,mid,liberal,Liberal,4,4,5,7,7,5,4,3,7,7,5,3,2,4,4,5,3,4,2,t1,3,2,4,3,1,1,136
2020-02-13,3,4,1,2,2,NA,3,4,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,Male,high,liberal,Extremely liberal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,t1,NA,NA,NA,NA,NA,2,120
